"school_name";"title";"id";"tage";"zeit";"ort";"kursleiter";"zeitraum";"preise";"status"
"BEUTH";"Familiensport";"308";"Di";"16:00-17:00";"Beuth Hochschule für Technik, Raum 408, Haus Beuth";"09.02.-29.03.";"['entgeltfrei']";"buchen"
"BEUTH";"Feldenkrais";"124";"Mi";"16:30-18:00";"Beuth Hochschule für Technik, Raum 402, Haus Beuth";"04.11.-10.02.";"['30', '40', '50']";"buchen"
"BEUTH";"Feldenkrais";"404";"Sa";"10:00-14:00";"Beuth Hochschule für Technik, Raum 402, Haus Beuth";"23.01.";"['30', '40', '50']";"buchen"
"BEUTH";"Frauensport 40 Plus";"125";"Di";"16:00-17:00";"Beuth Hochschule für Technik, Raum 402, Haus Beuth";"03.11.-26.01.";"['5', '5', '10']";"buchen"
"BEUTH";"Fußball Damen";"129";"Do";"18:30-19:30";"Waldenburg-Oberschule";"05.11.-28.01.";"['15', '--', '--']";"keine Buchung"
"BEUTH";"Fußball Damen (inkl. Ferien)";"128";"Do";"20:00-21:30";"Waldenburg-Oberschule";"05.11.-14.03.";"['15', '--', '--']";"ausgebucht"
"BEUTH";"Fußball Herren (inkl. Ferien)";"130";"Mo";"20:30-21:30";"Schule am Zillepark";"02.11.-14.03.";"['25', '--', '--']";"ausgebucht"
"BEUTH";"Fußball Herren (inkl. Ferien)";"131";"Mi";"18:00-19:30";"Rudolf Wissell Grundschule";"04.11.-16.03.";"['20', '--', '--']";"ausgebucht"
"BEUTH";"Fußball Herren (inkl. Ferien)";"179";"Mi";"19:30-21:00";"Rudolf Wissell Grundschule";"04.11.-16.03.";"['20', '--', '--']";"ausgebucht"
"BEUTH";"Gesellschaftstanz";"132";"Di";"20:00-21:30";"Beuth Hochschule für Technik, Raum 402, Haus Beuth";"03.11.-26.01.";"['27', '37', '47']";"buchen"
"BEUTH";"Gesellschaftstanz";"133";"Di";"18:30-20:00";"Beuth Hochschule für Technik, Raum 402, Haus Beuth";"03.11.-26.01.";"['27', '37', '47']";"buchen"
"BEUTH";"Gymnastik für Studierende Anleitung";"203";"Mo";"19:00-20:00";"Neumark Schule oben";"02.11.-08.02.";"['25', '--', '--']";"buchen"
"BEUTH";"Hapkido";"134";"Mi";"18:30-20:00";"Beuth Hochschule für Technik, Raum 401, Haus Beuth";"21.10.-27.01.";"['15', '25', '35']";"buchen"
"BEUTH";"Hapkido";"135";"Do";"20:00-21:30";"Beuth Hochschule für Technik, Raum 401, Haus Beuth";"22.10.-28.01.";"['15', '25', '35']";"buchen"
"BEUTH";"Hatha Yoga";"136";"Di";"15:30-17:00";"Beuth Hochschule für Technik, Raum 401, Haus Beuth";"20.10.-02.02.";"['25', '35', '45']";"buchen"
"BEUTH";"Hatha Yoga";"137";"Do";"16:00-17:30";"Beuth Hochschule für Technik, Raum 408, Haus Beuth";"22.10.-28.01.";"['25', '35', '45']";"ausgebucht"
"BEUTH";"Hatha Yoga";"138";"Fr";"08:00-09:30";"Beuth Hochschule für Technik, Raum 408, Haus Beuth";"23.10.-29.01.";"['25', '35', '45']";"ausgebucht"
"BEUTH";"Ju-Jutsu";"139";"Mo";"18:30-20:00";"Beuth Hochschule für Technik, Raum 401, Haus Beuth";"19.10.-25.01.";"['15', '25', '35']";"buchen"
"BEUTH";"Karate";"205";"Mo";"19:00-21:00";"KarateKarate";"02.11.-10.02.";"['50', '50', '50']";"buchen"
"BEUTH";"Karate";"205";"Mi";"20:30-22:00";"KarateKarate";"02.11.-10.02.";"['50', '50', '50']";"buchen"
"BEUTH";"Karate (Modernes Sportkarate)";"206";"Do";"19:00-20:30";"Halle Gotenburger Straße";"15.10.-11.02.";"['5', '5', '10']";"buchen"
"BEUTH";"Kastenrudern Märkischer Ruderverein";"207";"Do";"19:00-21:00";"Kombibad S";"04.02.-17.03.";"['25', '30', '40']";"buchen"
